1.300000e+00 -8.561642e-05 
1.250000e+00 1.975710e+01 
1.200000e+00 3.405552e+01 
1.150000e+00 4.302588e+01 
1.100000e+00 4.738481e+01 
1.050000e+00 4.893632e+01 
1.000000e+00 4.945302e+01 
9.500000e-01 4.966961e+01 
9.000000e-01 4.978856e+01 
8.500000e-01 4.986738e+01 
8.000000e-01 4.992423e+01 
7.500000e-01 4.996394e+01 
7.000000e-01 4.998744e+01 
6.500000e-01 4.999597e+01 
6.000000e-01 4.999792e+01 
5.500000e-01 4.999895e+01 
5.000000e-01 4.999944e+01 
4.500000e-01 4.999983e+01 
4.000000e-01 5.000017e+01 
3.500000e-01 5.000048e+01 
3.000000e-01 5.000078e+01 
2.500000e-01 5.000106e+01 
2.000000e-01 5.000134e+01 
1.500000e-01 5.000161e+01 
1.000000e-01 5.000187e+01 
5.000000e-02 5.000213e+01 
-4.440892e-16 5.000238e+01 
